ID,Title,Description,Type,Priority,Status,Component,Tags
BUG-0020,Session timeout not working correctly,User sessions remain active beyond configured timeout period of 60 minutes. Security risk as users remain authenticated. Occurs in User Service.,Bug,Medium,Open,Payment Service,"backend, service"
BUG-0021,Login fails with & in password,Users cannot authenticate when password contains &. Error message: NullPointerException. Affects specific customers.,Bug,Low,Open,Backend,"security, compliance"
BUG-0022,registration fails with 401 error,Users encounter 401 unauthorized error when attempting registration. Token validation failing in Backend. Reproducible consistently.,Bug,Medium,Open,User Service,"security, compliance"
BUG-0023,Webhook delivery failures,Webhooks not delivered to /api/payments. Retry mechanism failing. during peak hours.,Bug,Low,Closed,User Service,"security, compliance"
BUG-0024,High CPU usage during approve,approve causes CPU spike to 80%. Inefficient algorithm in Reporting Module. Affects admin users.,Bug,Medium,Resolved,User Service,"database, performance"
BUG-0025,Infinite scroll not loading more items,Scroll event not triggering pagination. API Gateway stuck after 100 items. Reproducible occasionally.,Bug,High,Open,API Gateway,"security, compliance"
BUG-0026,Rate limiting not enforced on /api/products,"/api/products accepts unlimited requests, causing system slowdown. No rate limit validation in Notification Service.",Bug,Critical,Open,Notification Service,feature-request
BUG-0027,Timeout error on user creation,user creation operation times out after 60 seconds. Database query performance issue. Affects specific customers.,Bug,Medium,In Progress,Frontend,"api, integration"
BUG-0028,API returns 502 for /api/payments,/api/payments endpoint returns 502 instead of expected 200. Response body: invalid JSON. Breaks 10% of users.,Bug,Critical,Closed,API Gateway,"bug, critical"
BUG-0029,Password reset email not sent,Users requesting password reset do not receive email. Email service returns connection refused. Affects admin users.,Bug,High,Resolved,Notification Service,"frontend, ui"
BUG-0030,JSON parsing error in /api/reports,/api/reports fails to parse request body. Error: connection refused. Occurs when with large datasets.,Bug,Medium,Open,Database,"backend, service"
BUG-0031,Form validation missing for product_id,product_id input field accepts invalid data. No client-side validation. Causes connection refused on submission.,Bug,Low,Open,API Gateway,technical-debt
BUG-0032,Third-party payment gateway integration failing,Integration with payment gateway returns NullPointerException. API key validation issue. Affects 10% of users.,Bug,Low,Open,Backend,"frontend, ui"
BUG-0033,Session timeout not working correctly,User sessions remain active beyond configured timeout period of 10 minutes. Security risk as users remain authenticated. Occurs in Authentication.,Bug,Critical,Resolved,Admin Panel,feature-request
BUG-0034,Database connection pool exhausted,Application runs out of database connections during high load. Connection pool size: 10. Causes system slowdown.,Bug,Low,In Progress,Admin Panel,"backend, service"
BUG-0035,Infinite scroll not loading more items,Scroll event not triggering pagination. Database stuck after 50 items. Reproducible during peak hours.,Bug,Medium,In Progress,Reporting Module,"performance, optimization"
BUG-0036,Timeout error on order processing,order processing operation times out after 30 seconds. Database query performance issue. Affects 10% of users.,Bug,Low,In Progress,Payment Service,"backend, service"
BUG-0037,Form validation missing for order_date,order_date input field accepts invalid data. No client-side validation. Causes NullPointerException on submission.,Bug,High,In Progress,Admin Panel,"bug, critical"
BUG-0038,Session timeout not working correctly,User sessions remain active beyond configured timeout period of 5 minutes. Security risk as users remain authenticated. Occurs in Notification Service.,Bug,High,Deferred,Reporting Module,"database, performance"
BUG-0039,Data inconsistency in users,users contains duplicate entries for order_date. Unique constraint not enforced. Data integrity issue.,Bug,Medium,Closed,Reporting Module,feature-request
BUG-0040,Data inconsistency in audit_logs,audit_logs contains duplicate entries for order_date. Unique constraint not enforced. Data integrity issue.,Bug,Critical,Deferred,Frontend,"frontend, ui"
BUG-0041,Session timeout not working correctly,User sessions remain active beyond configured timeout period of 5 minutes. Security risk as users remain authenticated. Occurs in User Service.,Bug,Medium,In Progress,Authentication,"bug, critical"
BUG-0042,Query performance degradation on orders,SELECT query on orders taking 5 seconds. Missing index on product_id. Affects 10% of users.,Bug,Low,Deferred,User Service,feature-request
BUG-0043,Report load time exceeds 120 seconds,Report page takes 120 seconds to load during concurrent users. Performance bottleneck in Frontend.,Bug,Critical,Open,Notification Service,"authentication, security"
BUG-0044,Query performance degradation on sessions,SELECT query on sessions taking 5 seconds. Missing index on order_date. Affects specific customers.,Bug,Critical,In Progress,Authentication,feature-request
BUG-0045,Form validation missing for email,email input field accepts invalid data. No client-side validation. Causes invalid JSON on submission.,Bug,High,Resolved,Frontend,"bug, critical"
BUG-0046,Webhook delivery failures,Webhooks not delivered to /api/auth. Retry mechanism failing. consistently.,Bug,Low,Open,Admin Panel,"frontend, ui"
BUG-0047,API returns 503 for /api/orders,/api/orders endpoint returns 503 instead of expected 200. Response body: unauthorized. Breaks 10% of users.,Bug,Critical,Open,Reporting Module,"security, compliance"
BUG-0048,JavaScript error in User Management,Console shows NullPointerException when using User Management. Breaks specific customers. Occurs in Safari.,Bug,Critical,Deferred,Authentication,"frontend, ui"
BUG-0049,Rate limiting not enforced on /api/payments,"/api/payments accepts unlimited requests, causing service unavailability. No rate limit validation in Backend.",Bug,Low,Open,Admin Panel,"backend, service"
BUG-0050,JSON parsing error in /api/auth,/api/auth fails to parse request body. Error: timeout error. Occurs when using special characters.,Bug,Medium,Resolved,Backend,technical-debt
BUG-0051,API returns 502 for /api/users,/api/users endpoint returns 502 instead of expected 200. Response body: connection refused. Breaks premium tier users.,Bug,Medium,Closed,User Service,"api, integration"
BUG-0052,High CPU usage during approve,approve causes CPU spike to 100%. Inefficient algorithm in Reporting Module. Affects all users.,Bug,High,Closed,User Service,feature-request
BUG-0053,Form validation missing for order_date,order_date input field accepts invalid data. No client-side validation. Causes connection refused on submission.,Bug,High,Closed,Admin Panel,feature-request
BUG-0054,Dropdown not responsive on iPhone,Dropdown component breaks on iPhone. Layout issue in Frontend. in production only.,Bug,High,Closed,Backend,"database, performance"
BUG-0055,Timeout error on file upload,file upload operation times out after 10 seconds. Database query performance issue. Affects all users.,Bug,Medium,Open,Notification Service,"api, integration"
BUG-0056,JSON parsing error in /api/orders,/api/orders fails to parse request body. Error: validation error. Occurs when during concurrent requests.,Bug,Medium,Closed,Notification Service,"bug, critical"
BUG-0057,High CPU usage during delete,delete causes CPU spike to 80%. Inefficient algorithm in Notification Service. Affects specific customers.,Bug,Medium,In Progress,Payment Service,"api, integration"
BUG-0058,logout fails with 401 error,Users encounter 401 unauthorized error when attempting logout. Token validation failing in Notification Service. Reproducible in production only.,Bug,Low,Resolved,Database,"frontend, ui"
BUG-0059,Database connection pool exhausted,Application runs out of database connections during peak traffic. Connection pool size: 20. Causes service unavailability.,Bug,Low,Closed,API Gateway,"security, compliance"
BUG-0060,Report load time exceeds 10 seconds,Report page takes 10 seconds to load during peak traffic. Performance bottleneck in Backend.,Bug,Critical,Closed,Notification Service,"security, compliance"
BUG-0061,Transaction deadlock in delete,delete encounters deadlock when using special characters. Database returns internal server error. Affects admin users.,Bug,Critical,Resolved,Frontend,"backend, service"
BUG-0062,High CPU usage during update,update causes CPU spike to 95%. Inefficient algorithm in Admin Panel. Affects admin users.,Bug,Medium,Resolved,Payment Service,"bug, critical"
BUG-0063,Data inconsistency in transactions,transactions contains duplicate entries for order_date. Unique constraint not enforced. Data integrity issue.,Bug,Low,Open,Database,"api, integration"
BUG-0064,Login fails with @ in password,Users cannot authenticate when password contains @. Error message: invalid JSON. Affects admin users.,Bug,Medium,Closed,Database,feature-request
BUG-0065,Rate limiting not enforced on /api/auth,"/api/auth accepts unlimited requests, causing cascading failures. No rate limit validation in Reporting Module.",Bug,Low,Deferred,Backend,"database, performance"
BUG-0066,Infinite scroll not loading more items,Scroll event not triggering pagination. Authentication stuck after 100 items. Reproducible consistently.,Bug,Critical,Deferred,Payment Service,"performance, optimization"
BUG-0067,Session timeout not working correctly,User sessions remain active beyond configured timeout period of 120 minutes. Security risk as users remain authenticated. Occurs in Admin Panel.,Bug,Medium,Open,API Gateway,"bug, critical"
BUG-0068,Timeout error on user creation,user creation operation times out after 30 seconds. Database query performance issue. Affects 10% of users.,Bug,Low,Closed,Notification Service,"backend, service"
BUG-0069,Password reset email not sent,Users requesting password reset do not receive email. Email service returns constraint violation. Affects premium tier users.,Bug,High,In Progress,Admin Panel,"backend, service"
BUG-0070,Data inconsistency in users,users contains duplicate entries for product_id. Unique constraint not enforced. Data integrity issue.,Bug,Medium,Closed,API Gateway,"frontend, ui"
BUG-0071,API returns 401 for /api/orders,/api/orders endpoint returns 401 instead of expected 200. Response body: internal server error. Breaks premium tier users.,Bug,Medium,Open,Payment Service,"authentication, security"
BUG-0072,Timeout error on user creation,user creation operation times out after 60 seconds. Database query performance issue. Affects specific customers.,Bug,High,Deferred,Frontend,"authentication, security"
BUG-0073,Third-party SMS provider integration failing,Integration with SMS provider returns validation error. API key validation issue. Affects specific customers.,Bug,High,Deferred,API Gateway,feature-request
BUG-0074,Memory leak in Authentication,Authentication exhibits memory growth over time. Reaches 500MB after 1 hour. Causes service unavailability.,Bug,High,In Progress,User Service,"backend, service"
BUG-0075,API returns 502 for /api/users,/api/users endpoint returns 502 instead of expected 200. Response body: constraint violation. Breaks 10% of users.,Bug,High,In Progress,Authentication,"backend, service"
BUG-0076,JavaScript error in User Management,Console shows timeout error when using User Management. Breaks premium tier users. Occurs in Safari.,Bug,Critical,Open,Database,"authentication, security"
BUG-0077,Query performance degradation on transactions,SELECT query on transactions taking 30 seconds. Missing index on timestamp. Affects specific customers.,Bug,Critical,Closed,Notification Service,"authentication, security"
BUG-0078,Password reset email not sent,Users requesting password reset do not receive email. Email service returns validation error. Affects specific customers.,Bug,Low,Closed,Authentication,"security, compliance"
BUG-0079,Dashboard load time exceeds 10 seconds,Dashboard page takes 10 seconds to load during batch processing. Performance bottleneck in Admin Panel.,Bug,Critical,Deferred,API Gateway,technical-debt
BUG-0080,Form validation missing for email,email input field accepts invalid data. No client-side validation. Causes connection refused on submission.,Bug,Medium,Deferred,Notification Service,"performance, optimization"
BUG-0081,High CPU usage during update,update causes CPU spike to 95%. Inefficient algorithm in Reporting Module. Affects premium tier users.,Bug,Medium,Closed,Database,"api, integration"
BUG-0082,Timeout error on order processing,order processing operation times out after 5 seconds. Database query performance issue. Affects all users.,Bug,Low,In Progress,Admin Panel,"performance, optimization"
BUG-0083,JSON parsing error in /api/products,/api/products fails to parse request body. Error: validation error. Occurs when on first request.,Bug,Medium,Closed,Payment Service,technical-debt
BUG-0084,Webhook delivery failures,Webhooks not delivered to /api/payments. Retry mechanism failing. in production only.,Bug,High,In Progress,Admin Panel,"backend, service"
BUG-0085,Rate limiting not enforced on /api/products,"/api/products accepts unlimited requests, causing cascading failures. No rate limit validation in Admin Panel.",Bug,Low,Resolved,Backend,technical-debt
BUG-0086,Admin Panel load time exceeds 10 seconds,Admin Panel page takes 10 seconds to load during high load. Performance bottleneck in Admin Panel.,Bug,Medium,Open,Frontend,technical-debt
BUG-0087,JSON parsing error in /api/products,/api/products fails to parse request body. Error: unauthorized. Occurs when on first request.,Bug,Low,Resolved,API Gateway,technical-debt
BUG-0088,Infinite scroll not loading more items,Scroll event not triggering pagination. Admin Panel stuck after 50 items. Reproducible intermittently.,Bug,High,Deferred,API Gateway,"database, performance"
BUG-0089,Infinite scroll not loading more items,Scroll event not triggering pagination. Reporting Module stuck after 20 items. Reproducible during peak hours.,Bug,Low,Deferred,User Service,"performance, optimization"
BUG-0090,Database connection pool exhausted,Application runs out of database connections during concurrent users. Connection pool size: 10. Causes cascading failures.,Bug,High,Closed,Notification Service,"authentication, security"
BUG-0091,Rate limiting not enforced on /api/payments,"/api/payments accepts unlimited requests, causing cascading failures. No rate limit validation in Frontend.",Bug,Low,Closed,Admin Panel,technical-debt
BUG-0092,JSON parsing error in /api/products,/api/products fails to parse request body. Error: validation error. Occurs when with large datasets.,Bug,Critical,Open,API Gateway,technical-debt
BUG-0093,Third-party email service integration failing,Integration with email service returns NullPointerException. API key validation issue. Affects premium tier users.,Bug,High,Closed,User Service,"bug, critical"
BUG-0094,Modal dialog not responsive on mobile devices,Modal dialog component breaks on mobile devices. Layout issue in Database. consistently.,Bug,High,Resolved,User Service,"bug, critical"
BUG-0095,Memory leak in API Gateway,API Gateway exhibits memory growth over time. Reaches 1000MB after 8 hours. Causes cascading failures.,Bug,Low,Deferred,Authentication,"authentication, security"
BUG-0096,Form not responsive on tablet,Form component breaks on tablet. Layout issue in API Gateway. consistently.,Bug,Critical,Open,Reporting Module,"database, performance"
BUG-0097,Transaction deadlock in export,export encounters deadlock when using special characters. Database returns internal server error. Affects all users.,Bug,Medium,Open,Database,"authentication, security"
BUG-0098,Settings load time exceeds 10 seconds,Settings page takes 10 seconds to load during peak traffic. Performance bottleneck in API Gateway.,Bug,Low,Resolved,User Service,"database, performance"
BUG-0099,Webhook delivery failures,Webhooks not delivered to /api/products. Retry mechanism failing. during peak hours.,Bug,High,Open,Payment Service,"bug, critical"
BUG-0100,API returns 400 for /api/auth,/api/auth endpoint returns 400 instead of expected 200. Response body: NullPointerException. Breaks specific customers.,Bug,Critical,Open,Database,"database, performance"
BUG-0101,Session timeout not working correctly,User sessions remain active beyond configured timeout period of 30 minutes. Security risk as users remain authenticated. Occurs in Notification Service.,Bug,Low,Open,Database,"database, performance"
BUG-0102,Settings load time exceeds 120 seconds,Settings page takes 120 seconds to load during concurrent users. Performance bottleneck in Database.,Bug,High,In Progress,Backend,"backend, service"
BUG-0103,Password reset email not sent,Users requesting password reset do not receive email. Email service returns constraint violation. Affects admin users.,Bug,Critical,Closed,Admin Panel,"authentication, security"
BUG-0104,Report load time exceeds 120 seconds,Report page takes 120 seconds to load during peak traffic. Performance bottleneck in API Gateway.,Bug,Critical,Open,Frontend,"performance, optimization"
BUG-0105,API returns 401 for /api/users,/api/users endpoint returns 401 instead of expected 200. Response body: unauthorized. Breaks premium tier users.,Bug,High,Deferred,Notification Service,"security, compliance"
BUG-0106,Login fails with @ in password,Users cannot authenticate when password contains @. Error message: invalid JSON. Affects premium tier users.,Bug,Medium,Deferred,Database,feature-request
BUG-0107,API returns 404 for /api/orders,/api/orders endpoint returns 404 instead of expected 200. Response body: connection refused. Breaks all users.,Bug,Critical,Resolved,Payment Service,"frontend, ui"
BUG-0108,Rate limiting not enforced on /api/auth,"/api/auth accepts unlimited requests, causing degraded performance. No rate limit validation in API Gateway.",Bug,Low,Open,Reporting Module,"api, integration"
BUG-0109,Timeout error on order processing,order processing operation times out after 10 seconds. Database query performance issue. Affects mobile users.,Bug,Medium,Open,Notification Service,technical-debt
BUG-0110,Infinite scroll not loading more items,Scroll event not triggering pagination. Admin Panel stuck after 100 items. Reproducible in production only.,Bug,Critical,Closed,Reporting Module,"api, integration"
BUG-0111,Query performance degradation on users,SELECT query on users taking 10 seconds. Missing index on timestamp. Affects specific customers.,Bug,Medium,Resolved,API Gateway,"backend, service"
BUG-0112,Query performance degradation on products,SELECT query on products taking 10 seconds. Missing index on order_date. Affects all users.,Bug,Medium,Open,Backend,feature-request
BUG-0113,Password reset email not sent,Users requesting password reset do not receive email. Email service returns invalid JSON. Affects mobile users.,Bug,High,Resolved,Frontend,"frontend, ui"
BUG-0114,Query performance degradation on orders,SELECT query on orders taking 30 seconds. Missing index on timestamp. Affects specific customers.,Bug,Low,Deferred,Database,"api, integration"
BUG-0115,Form validation missing for status,status input field accepts invalid data. No client-side validation. Causes internal server error on submission.,Bug,High,Deferred,Payment Service,feature-request
BUG-0116,High CPU usage during approve,approve causes CPU spike to 100%. Inefficient algorithm in Reporting Module. Affects specific customers.,Bug,Medium,Open,Admin Panel,"authentication, security"
BUG-0117,Third-party analytics platform integration failing,Integration with analytics platform returns constraint violation. API key validation issue. Affects premium tier users.,Bug,Low,Deferred,Payment Service,"performance, optimization"
BUG-0118,Timeout error on user creation,user creation operation times out after 5 seconds. Database query performance issue. Affects mobile users.,Bug,Medium,Resolved,Backend,"database, performance"
BUG-0119,Session timeout not working correctly,User sessions remain active beyond configured timeout period of 30 minutes. Security risk as users remain authenticated. Occurs in Admin Panel.,Bug,Low,In Progress,Frontend,"performance, optimization"
BUG-0120,Transaction deadlock in update,update encounters deadlock when on first request. Database returns unauthorized. Affects all users.,Bug,Critical,Open,API Gateway,"authentication, security"
BUG-0121,JavaScript error in Settings,Console shows timeout error when using Settings. Breaks premium tier users. Occurs in Chrome.,Bug,Low,In Progress,Admin Panel,feature-request
BUG-0122,Timeout error on user creation,user creation operation times out after 120 seconds. Database query performance issue. Affects admin users.,Bug,Medium,Closed,Authentication,"api, integration"
BUG-0123,Transaction deadlock in export,export encounters deadlock when during concurrent requests. Database returns validation error. Affects mobile users.,Bug,High,Open,Authentication,"database, performance"
BUG-0124,Infinite scroll not loading more items,Scroll event not triggering pagination. Notification Service stuck after 50 items. Reproducible intermittently.,Bug,Critical,In Progress,API Gateway,"performance, optimization"
BUG-0125,Search bar not responsive on iPhone,Search bar component breaks on iPhone. Layout issue in Authentication. consistently.,Bug,High,Open,Authentication,"bug, critical"
BUG-0126,Query performance degradation on users,SELECT query on users taking 120 seconds. Missing index on product_id. Affects premium tier users.,Bug,Medium,Resolved,Frontend,"bug, critical"
BUG-0127,API returns 401 for /api/orders,/api/orders endpoint returns 401 instead of expected 200. Response body: NullPointerException. Breaks admin users.,Bug,High,Open,Reporting Module,"authentication, security"
BUG-0128,JavaScript error in User Management,Console shows connection refused when using User Management. Breaks premium tier users. Occurs in Firefox.,Bug,High,In Progress,User Service,"frontend, ui"
BUG-0129,Settings load time exceeds 60 seconds,Settings page takes 60 seconds to load during high load. Performance bottleneck in Admin Panel.,Bug,Critical,Resolved,Frontend,"api, integration"
BUG-0130,Login fails with unicode characters in password,Users cannot authenticate when password contains unicode characters. Error message: invalid JSON. Affects specific customers.,Bug,Medium,In Progress,User Service,technical-debt
BUG-0131,Admin Panel load time exceeds 5 seconds,Admin Panel page takes 5 seconds to load during peak traffic. Performance bottleneck in API Gateway.,Bug,Low,In Progress,Notification Service,"bug, critical"
BUG-0132,Third-party email service integration failing,Integration with email service returns NullPointerException. API key validation issue. Affects mobile users.,Bug,High,Closed,Backend,"security, compliance"
BUG-0133,Infinite scroll not loading more items,Scroll event not triggering pagination. Admin Panel stuck after 50 items. Reproducible intermittently.,Bug,Medium,Closed,User Service,"authentication, security"
BUG-0134,Query performance degradation on products,SELECT query on products taking 60 seconds. Missing index on status. Affects admin users.,Bug,Medium,In Progress,Backend,"authentication, security"
BUG-0135,registration fails with 401 error,Users encounter 401 unauthorized error when attempting registration. Token validation failing in Database. Reproducible intermittently.,Bug,Critical,Deferred,Authentication,"security, compliance"
BUG-0136,Rate limiting not enforced on /api/reports,"/api/reports accepts unlimited requests, causing cascading failures. No rate limit validation in Backend.",Bug,Medium,Closed,Frontend,"api, integration"
BUG-0137,Infinite scroll not loading more items,Scroll event not triggering pagination. Database stuck after 20 items. Reproducible during peak hours.,Bug,Critical,Open,Notification Service,"authentication, security"
BUG-0138,Timeout error on file upload,file upload operation times out after 120 seconds. Database query performance issue. Affects premium tier users.,Bug,High,Deferred,Authentication,feature-request
BUG-0139,Database connection pool exhausted,Application runs out of database connections during batch processing. Connection pool size: 50. Causes service unavailability.,Bug,Critical,Closed,Admin Panel,"authentication, security"
BUG-0140,Data inconsistency in audit_logs,audit_logs contains duplicate entries for status. Unique constraint not enforced. Data integrity issue.,Bug,Medium,In Progress,Payment Service,feature-request
BUG-0141,Database connection pool exhausted,Application runs out of database connections during concurrent users. Connection pool size: 50. Causes cascading failures.,Bug,Critical,In Progress,Database,"backend, service"
BUG-0142,API returns 400 for /api/auth,/api/auth endpoint returns 400 instead of expected 200. Response body: unauthorized. Breaks specific customers.,Bug,Low,Deferred,User Service,"api, integration"
BUG-0143,Data inconsistency in sessions,sessions contains duplicate entries for timestamp. Unique constraint not enforced. Data integrity issue.,Bug,Critical,In Progress,Backend,"security, compliance"
BUG-0144,Password reset email not sent,Users requesting password reset do not receive email. Email service returns constraint violation. Affects specific customers.,Bug,Low,In Progress,Backend,"database, performance"
BUG-0145,Session timeout not working correctly,User sessions remain active beyond configured timeout period of 60 minutes. Security risk as users remain authenticated. Occurs in Admin Panel.,Bug,Medium,Closed,Frontend,feature-request
BUG-0146,JavaScript error in Settings,Console shows unauthorized when using Settings. Breaks all users. Occurs in Safari.,Bug,Medium,Closed,Database,"security, compliance"
BUG-0147,Webhook delivery failures,Webhooks not delivered to /api/users. Retry mechanism failing. intermittently.,Bug,Low,Resolved,Admin Panel,"api, integration"
BUG-0148,Data inconsistency in sessions,sessions contains duplicate entries for timestamp. Unique constraint not enforced. Data integrity issue.,Bug,Medium,Open,User Service,"security, compliance"
BUG-0149,Rate limiting not enforced on /api/auth,"/api/auth accepts unlimited requests, causing service unavailability. No rate limit validation in Payment Service.",Bug,Medium,Resolved,Admin Panel,"api, integration"
BUG-0150,Memory leak in Notification Service,Notification Service exhibits memory growth over time. Reaches 500MB after 8 hours. Causes cascading failures.,Bug,High,Closed,Database,"frontend, ui"
BUG-0151,JavaScript error in Settings,Console shows invalid JSON when using Settings. Breaks premium tier users. Occurs in Chrome.,Bug,Medium,Closed,Notification Service,"api, integration"
BUG-0152,Infinite scroll not loading more items,Scroll event not triggering pagination. Notification Service stuck after 20 items. Reproducible intermittently.,Bug,High,In Progress,Reporting Module,"authentication, security"
BUG-0153,Password reset email not sent,Users requesting password reset do not receive email. Email service returns constraint violation. Affects 10% of users.,Bug,Medium,Resolved,Reporting Module,"database, performance"
BUG-0154,Password reset email not sent,Users requesting password reset do not receive email. Email service returns validation error. Affects premium tier users.,Bug,Low,In Progress,Backend,"api, integration"
BUG-0155,Session timeout not working correctly,User sessions remain active beyond configured timeout period of 60 minutes. Security risk as users remain authenticated. Occurs in Payment Service.,Bug,Low,Open,Database,feature-request
BUG-0156,JavaScript error in Reports,Console shows timeout error when using Reports. Breaks mobile users. Occurs in Edge.,Bug,Medium,Resolved,Notification Service,"authentication, security"
BUG-0157,API returns 502 for /api/payments,/api/payments endpoint returns 502 instead of expected 200. Response body: constraint violation. Breaks premium tier users.,Bug,Medium,Deferred,API Gateway,"security, compliance"
BUG-0158,Password reset email not sent,Users requesting password reset do not receive email. Email service returns NullPointerException. Affects 10% of users.,Bug,High,Open,Authentication,"backend, service"
BUG-0159,Modal dialog not responsive on small screens,Modal dialog component breaks on small screens. Layout issue in Database. during peak hours.,Bug,Critical,Open,Notification Service,"performance, optimization"
BUG-0160,Query performance degradation on audit_logs,SELECT query on audit_logs taking 5 seconds. Missing index on timestamp. Affects all users.,Bug,High,Closed,Reporting Module,technical-debt
BUG-0161,Modal dialog not responsive on iPhone,Modal dialog component breaks on iPhone. Layout issue in API Gateway. consistently.,Bug,Critical,Deferred,Database,"api, integration"
BUG-0162,API returns 400 for /api/payments,/api/payments endpoint returns 400 instead of expected 200. Response body: invalid JSON. Breaks specific customers.,Bug,Critical,Closed,Payment Service,"authentication, security"
BUG-0163,High CPU usage during delete,delete causes CPU spike to 100%. Inefficient algorithm in Backend. Affects admin users.,Bug,Critical,Closed,Reporting Module,"bug, critical"
BUG-0164,High CPU usage during delete,delete causes CPU spike to 95%. Inefficient algorithm in API Gateway. Affects all users.,Bug,High,Closed,Notification Service,"performance, optimization"
BUG-0165,Data inconsistency in users,users contains duplicate entries for status. Unique constraint not enforced. Data integrity issue.,Bug,High,Resolved,Reporting Module,"frontend, ui"
BUG-0166,Timeout error on user creation,user creation operation times out after 30 seconds. Database query performance issue. Affects premium tier users.,Bug,High,Deferred,Payment Service,"security, compliance"
BUG-0167,Transaction deadlock in export,export encounters deadlock when with large datasets. Database returns internal server error. Affects premium tier users.,Bug,High,Closed,Frontend,"backend, service"
BUG-0168,Webhook delivery failures,Webhooks not delivered to /api/users. Retry mechanism failing. occasionally.,Bug,Medium,In Progress,Payment Service,feature-request
BUG-0169,Rate limiting not enforced on /api/orders,"/api/orders accepts unlimited requests, causing system slowdown. No rate limit validation in Reporting Module.",Bug,Low,Open,Database,"frontend, ui"
BUG-0170,Password reset email not sent,Users requesting password reset do not receive email. Email service returns unauthorized. Affects admin users.,Bug,Critical,Open,Backend,technical-debt
BUG-0171,Transaction deadlock in export,export encounters deadlock when on first request. Database returns unauthorized. Affects 10% of users.,Bug,Low,Open,Authentication,"backend, service"
BUG-0172,password reset fails with 401 error,Users encounter 401 unauthorized error when attempting password reset. Token validation failing in User Service. Reproducible during peak hours.,Bug,Medium,In Progress,Frontend,"api, integration"
BUG-0173,Login fails with % in password,Users cannot authenticate when password contains %. Error message: NullPointerException. Affects premium tier users.,Bug,Critical,Deferred,Admin Panel,"database, performance"
BUG-0174,Database connection pool exhausted,Application runs out of database connections during batch processing. Connection pool size: 10. Causes degraded performance.,Bug,Low,Resolved,Authentication,"frontend, ui"
BUG-0175,Data inconsistency in sessions,sessions contains duplicate entries for user_id. Unique constraint not enforced. Data integrity issue.,Bug,Critical,Resolved,Payment Service,feature-request
